Time(min),Pulses,Random,Step
1130,154.07,549.49,723.55
1135,157.98,546.89,724.73
1140,162.26,543.96,725.91
1145,166.8,540.73,727.06
1150,171.32,537.24,728.21
1155,175.59,533.53,729.34
1160,179.49,529.62,730.46
1165,182.96,525.55,731.57
1170,185.96,521.34,732.66
1175,188.51,517,733.74
1180,190.61,512.57,734.81
1185,192.3,508.06,735.87
1190,193.6,503.48,736.91
1195,194.55,498.84,737.95
1200,195.18,494.17,738.97
1205,195.53,489.47,739.98
1210,195.63,484.75,740.97
1215,195.5,480.02,741.96
1220,195.16,475.28,742.94
1225,194.65,470.55,743.9
1230,193.99,465.82,744.85
1235,193.19,461.11,745.8
1240,192.27,456.42,746.73
1245,191.25,451.75,747.65
1250,190.14,447.11,748.56
1255,188.95,442.49,749.46
1260,187.7,437.9,750.35
1265,186.39,433.36,751.23
1270,185.03,428.92,752.1
1275,183.63,424.61,752.96
1280,182.2,420.46,753.81
1285,180.74,416.47,754.65
1290,179.26,412.65,755.48
1295,177.76,408.99,756.3
1300,176.24,405.48,757.12
1305,174.72,402.12,757.92
1310,173.19,398.89,758.71
1315,171.66,395.79,759.5
1320,170.12,392.8,760.27
1325,168.59,389.92,761.04
1330,167.05,387.13,761.8
1335,165.53,384.44,762.55
1340,164,381.82,763.29
1345,162.49,379.29,764.02
1350,160.98,376.82,764.74
1355,159.48,374.42,765.46
1360,157.99,372.08,766.17
1365,156.51,369.79,766.87
1370,155.05,367.56,767.56
1375,153.59,365.37,768.24
1380,152.15,363.23,768.92
1385,150.78,361.13,769.59
1390,149.72,359.07,770.25
1395,149.16,357.05,770.9
1400,149.19,355.07,771.55
1405,149.85,353.11,772.18
1410,151.14,351.2,772.81
1415,153.02,349.31,773.44
1420,155.45,347.45,774.06
1425,158.4,345.62,774.67
1430,161.81,343.81,775.27
1435,165.64,342.04,775.86
