Time(min),Pulses,Random,Step
765,158.44,297.64,519.61
770,156.53,299.75,521.23
775,154.64,302.11,522.83
780,152.78,304.67,524.39
785,151.21,307.41,525.94
790,150.72,310.29,527.45
795,151.57,313.3,528.95
800,153.72,316.4,530.42
805,157.02,319.59,531.86
810,161.34,322.83,533.28
815,166.54,326.13,534.68
820,172.48,329.46,536.05
825,179.06,332.82,537.41
830,186.19,336.2,538.74
835,193.78,339.58,540.05
840,201.75,342.96,541.34
845,209.78,346.34,542.6
850,217.01,349.7,543.85
855,223.14,353.04,545.08
860,228.16,356.37,546.28
865,232.18,359.67,547.47
870,235.3,362.94,548.64
875,237.64,366.18,549.79
880,239.29,369.39,550.91
885,240.34,372.56,552.03
890,240.86,375.7,553.12
895,240.93,378.8,554.19
900,240.6,381.86,555.25
905,239.93,384.85,556.29
910,238.97,387.64,557.32
915,237.74,390.2,558.33
920,236.3,392.54,559.32
925,234.67,394.67,560.29
930,232.88,396.61,561.25
935,230.95,398.4,562.19
940,228.91,400.03,563.12
945,226.78,401.54,564.03
950,224.56,402.93,564.93
955,222.28,404.21,565.82
960,219.96,405.41,566.68
965,217.59,406.52,567.54
970,215.19,407.56,568.38
975,212.77,408.53,569.21
980,210.33,409.45,570.02
985,207.89,410.31,570.82
990,205.44,411.12,571.61
995,203,411.89,572.38
1000,200.57,412.62,573.15
1005,198.14,413.32,573.9
1010,195.73,413.98,574.63
1015,193.34,414.62,575.36
1020,190.97,415.23,576.07
1025,188.62,415.82,576.78
1030,186.29,416.38,577.47
1035,183.98,416.92,578.15
1040,181.7,417.45,578.82
1045,179.45,417.96,579.47
1050,177.22,418.45,580.12
1055,175.02,418.93,580.76
1060,172.86,419.39,581.38
1065,170.71,419.84,582
1070,168.6,420.28,582.6
1075,166.52,420.71,583.2
1080,164.47,421.13,583.79
1085,162.7,421.45,584.36
1090,162.02,421.4,584.93
1095,162.7,420.89,585.49
1100,164.66,419.94,586.04
1105,167.79,418.6,586.58
1110,171.93,416.91,587.11
1115,176.95,414.93,587.63
1120,182.73,412.69,588.15
1125,189.14,410.24,588.65
1130,196.11,407.6,589.15
1135,203.53,404.81,589.64
1140,211.35,401.89,590.12
1145,219.22,398.86,590.6
1150,226.3,395.75,591.06
1155,232.28,392.56,591.52
1160,237.15,389.33,591.97
1165,241.02,386.05,592.42
1170,244,382.74,592.85
1175,246.2,379.42,593.28
1180,247.71,376.08,593.7
1185,248.62,372.75,594.12
1190,249.01,369.41,594.53
1195,248.94,366.09,594.93
1200,248.49,362.78,595.33
1205,247.69,359.5,595.72
1210,246.6,356.23,596.1
1215,245.25,352.99,596.48
1220,243.68,349.78,596.85
1225,241.93,346.61,597.21
1230,240.02,343.46,597.57
1235,237.98,340.35,597.92
1240,235.83,337.28,598.27
1245,233.58,334.24,598.61
1250,231.25,331.24,598.95
1255,228.87,328.29,599.28
1260,226.43,325.37,599.6
1265,223.96,322.53,599.92
1270,221.45,319.92,600.24
1275,218.93,317.57,600.54
1280,216.4,315.47,600.85
1285,213.85,313.61,601.15
1290,211.31,311.96,601.44
1295,208.78,310.5,601.73
1300,206.25,309.2,602.02
1305,203.73,308.04,602.3
1310,201.23,307.01,602.57
1315,198.75,306.09,602.85
1320,196.29,305.28,603.11
1325,193.85,304.55,603.37
1330,191.43,303.9,603.63
1335,189.04,303.32,603.89
1340,186.68,302.79,604.14
1345,184.35,302.33,604.38
1350,182.04,301.91,604.62
1355,179.77,301.53,604.86
1360,177.52,301.19,605.1
1365,175.3,300.89,605.33
1370,173.12,300.61,605.55
1375,170.96,300.36,605.78
1380,168.84,300.13,606
1385,167,299.92,606.21
1390,166.25,299.73,606.42
1395,166.85,299.56,606.63
1400,168.75,299.4,606.84
1405,171.81,299.25,607.04
1410,175.89,299.12,607.24
1415,180.85,298.99,607.43
1420,186.56,298.88,607.63
1425,192.91,298.77,607.82
1430,199.82,298.67,608
1435,207.18,298.58,608.19
