Time(min),Pulses,Random,Step
0,38.264,38.264,38.264
5,38.264,38.264,38.264
10,38.264,38.264,38.264
15,38.264,38.264,38.264
20,38.264,38.264,38.264
25,38.264,38.264,38.264
30,38.264,38.264,38.264
35,38.264,38.264,38.264
40,38.264,38.264,38.264
45,38.264,38.264,38.264
50,38.264,38.264,38.264
55,38.264,38.264,38.264
60,38.264,38.264,38.264
65,38.264,38.264,38.264
70,38.264,38.264,38.264
75,38.264,38.264,38.264
80,38.264,38.264,38.264
85,38.264,38.264,38.264
90,38.264,38.264,38.264
95,38.264,38.264,38.264
100,38.264,38.264,38.264
105,38.264,38.264,38.264
110,38.264,38.264,38.264
115,38.264,38.264,38.264
120,38.264,38.264,38.264
125,38.264,38.264,38.264
130,38.264,38.264,38.264
135,38.264,38.264,38.264
140,38.264,38.264,38.264
145,38.264,38.264,38.264
150,38.264,38.264,38.264
155,38.264,38.264,38.264
160,38.264,38.264,38.264
165,38.264,38.264,38.264
170,38.264,38.264,38.264
175,38.264,38.264,38.264
180,38.264,38.264,38.264
185,38.52,38.403,38.433
190,39.836,39.117,39.302
195,42.471,40.547,41.041
200,46.372,42.665,43.616
205,51.406,45.397,46.939
210,57.426,48.664,50.913
215,64.294,52.392,55.447
220,71.888,56.513,60.459
225,80.097,60.969,65.878
230,88.825,65.706,71.639
235,97.987,70.678,77.687
240,107.51,75.846,83.972
245,117.07,81.173,90.451
250,125.8,86.628,97.085
255,133.4,92.184,103.84
260,139.88,97.817,110.69
265,145.33,103.51,117.61
270,149.86,109.23,124.58
275,153.59,114.98,131.57
280,156.6,120.74,138.57
285,158.99,126.49,145.57
290,160.84,132.23,152.55
295,162.2,137.95,159.5
300,163.15,143.63,166.41
305,163.74,149.28,173.28
310,164.01,154.88,180.09
315,164.01,160.43,186.85
320,163.76,165.93,193.54
325,163.31,171.37,200.16
330,162.68,176.76,206.71
335,161.89,182.08,213.18
340,160.98,187.34,219.57
345,159.94,192.53,225.89
350,158.82,197.66,232.13
355,157.61,202.72,238.28
360,156.33,207.71,244.35
365,154.99,212.64,250.33
370,153.61,217.54,256.23
375,152.19,222.41,262.05
380,150.74,227.25,267.78
385,149.27,232.07,273.43
390,147.78,236.85,278.99
395,146.27,241.59,284.48
400,144.76,246.28,289.87
405,143.24,250.93,295.19
410,141.73,255.53,300.42
415,140.21,260.08,305.57
420,138.7,264.58,310.65
425,137.2,269.01,315.64
430,135.71,273.4,320.56
435,134.22,277.72,325.39
440,132.75,281.99,330.16
445,131.3,286.2,334.84
450,129.85,290.35,339.45
455,128.43,294.44,343.99
460,127.01,298.47,348.46
465,125.62,302.45,352.85
470,124.24,306.36,357.18
475,122.88,310.22,361.43
480,121.54,314.02,365.62
485,120.47,317.76,369.74
490,120.48,321.44,373.79
495,121.82,325.06,377.77
500,124.46,328.63,381.7
505,128.24,332.15,385.56
510,133.02,335.61,389.35
515,138.68,339.01,393.09
520,145.07,342.36,396.77
525,152.1,345.66,400.38
530,159.67,348.91,403.94
535,167.69,352.1,407.44
540,176.08,355.25,410.88
545,184.53,358.22,414.27
550,192.18,360.67,417.6
555,198.7,362.46,420.88
560,204.12,363.63,424.1
565,208.53,364.23,427.28
570,212.04,364.34,430.4
575,214.76,364.02,433.47
580,216.78,363.32,436.49
585,218.19,362.3,439.46
590,219.08,360.99,442.38
595,219.5,359.44,445.26
600,219.52,357.69,448.09
605,219.19,355.76,450.87
610,218.56,353.69,453.61
615,217.67,351.49,456.3
620,216.56,349.18,458.95
625,215.25,346.79,461.56
630,213.77,344.32,464.12
635,212.16,341.8,466.65
640,210.42,339.24,469.13
645,208.59,336.64,471.57
650,206.67,334.02,473.97
655,204.68,331.38,476.33
660,202.64,328.73,478.66
665,200.55,326.08,480.94
670,198.43,323.44,483.19
675,196.28,320.8,485.41
680,194.11,318.17,487.58
685,191.93,315.56,489.72
690,189.75,312.97,491.83
695,187.56,310.39,493.9
700,185.38,307.84,495.94
705,183.2,305.31,497.95
710,181.03,302.81,499.92
715,178.88,300.34,501.86
720,176.74,297.9,503.77
725,174.62,295.61,505.65
730,172.52,293.87,507.49
735,170.44,292.79,509.31
740,168.38,292.37,511.1
745,166.34,292.53,512.86
750,164.33,293.2,514.59
755,162.34,294.31,516.29
760,160.38,295.81,517.96
