Time(min),Pulses,Random,Step
1155,336.16,457.67,952.14
1160,345.12,451.61,952.68
1165,352.5,445.51,953.22
1170,358.38,439.4,953.74
1175,362.89,433.28,954.25
1180,366.17,427.17,954.75
1185,368.34,421.09,955.25
1190,369.55,415.04,955.73
1195,369.91,409.03,956.21
1200,369.54,403.07,956.68
1205,368.53,397.17,957.13
1210,366.98,391.33,957.58
1215,364.95,385.56,958.03
1220,362.52,379.85,958.46
1225,359.75,374.22,958.88
1230,356.69,368.67,959.3
1235,353.38,363.19,959.71
1240,349.87,357.79,960.11
1245,346.19,352.47,960.51
1250,342.37,347.23,960.9
1255,338.44,342.08,961.28
1260,334.43,337,961.65
1265,330.35,332.03,962.02
1270,326.22,327.2,962.37
1275,322.05,322.56,962.73
1280,317.87,318.12,963.07
1285,313.68,313.86,963.41
1290,309.5,309.79,963.75
1295,305.33,305.89,964.07
1300,301.17,302.14,964.4
1305,297.04,298.54,964.71
1310,292.95,295.08,965.02
1315,288.89,291.74,965.32
1320,284.87,288.51,965.62
1325,280.89,285.39,965.92
1330,276.97,282.38,966.2
1335,273.09,279.45,966.49
1340,269.26,276.61,966.76
1345,265.48,273.85,967.03
1350,261.76,271.17,967.3
1355,258.09,268.56,967.56
1360,254.48,266.02,967.82
1365,250.92,263.54,968.07
1370,247.42,261.12,968.32
1375,243.98,258.76,968.56
1380,240.59,256.46,968.8
1385,237.5,254.21,969.03
1390,235.62,252.01,969.26
1395,235.5,249.86,969.49
1400,237.29,247.75,969.71
1405,240.94,245.7,969.93
1410,246.32,243.68,970.14
1415,253.24,241.71,970.35
1420,261.53,239.77,970.55
1425,270.99,237.88,970.76
1430,281.47,236.03,970.95
1435,292.8,234.21,971.15
