Time(min),Pulses,Random,Step
0,57.875,57.875,57.875
5,57.875,57.875,57.875
10,57.875,57.875,57.875
15,57.875,57.875,57.875
20,57.875,57.875,57.875
25,57.875,57.875,57.875
30,57.875,57.875,57.875
35,57.875,57.875,57.875
40,57.875,57.875,57.875
45,57.875,57.875,57.875
50,57.875,57.875,57.875
55,57.875,57.875,57.875
60,57.875,57.875,57.875
65,57.875,57.875,57.875
70,57.875,57.875,57.875
75,57.875,57.875,57.875
80,57.875,57.875,57.875
85,57.875,57.875,57.875
90,57.875,57.875,57.875
95,57.875,57.875,57.875
100,57.875,57.875,57.875
105,57.875,57.875,57.875
110,57.875,57.875,57.875
115,57.875,57.875,57.875
120,57.875,57.875,57.875
125,57.875,57.875,57.875
130,57.875,57.875,57.875
135,57.875,57.875,57.875
140,57.875,57.875,57.875
145,57.875,57.875,57.875
150,57.875,57.875,57.875
155,57.875,57.875,57.875
160,57.875,57.875,57.875
165,57.875,57.875,57.875
170,57.875,57.875,57.875
175,57.875,57.875,57.875
180,57.875,57.875,57.875
185,58.117,57.992,58.053
190,59.519,58.666,59.081
195,62.618,60.159,61.355
200,67.571,62.543,64.989
205,74.333,65.799,69.951
210,82.766,69.86,76.139
215,92.695,74.64,83.424
220,103.93,80.051,91.669
225,116.3,86.004,100.74
230,129.62,92.419,110.52
235,143.75,99.222,120.89
240,158.55,106.35,131.74
245,173.65,113.74,143.01
250,188.04,121.34,154.59
255,201.07,129.11,166.43
260,212.52,137,178.46
265,222.35,144.99,190.63
270,230.64,153.04,202.9
275,237.5,161.13,215.23
280,243.09,169.23,227.57
285,247.54,177.32,239.91
290,250.98,185.4,252.21
295,253.53,193.43,264.45
300,255.31,201.41,276.62
305,256.42,209.33,288.69
310,256.94,217.18,300.65
315,256.94,224.96,312.5
320,256.51,232.64,324.21
325,255.7,240.24,335.79
330,254.56,247.74,347.23
335,253.14,255.15,358.51
340,251.48,262.45,369.64
345,249.62,269.65,380.61
350,247.59,276.74,391.42
355,245.42,283.73,402.06
360,243.12,290.61,412.54
365,240.73,297.39,422.86
370,238.26,304.17,433.01
375,235.72,310.96,443
380,233.14,317.79,452.82
385,230.52,324.66,462.47
390,227.87,331.55,471.96
395,225.21,338.45,481.29
400,222.54,345.34,490.46
405,219.86,352.22,499.47
410,217.2,359.07,508.32
415,214.54,365.89,517.02
420,211.9,372.65,525.56
425,209.27,379.36,533.95
430,206.67,386,542.19
435,204.09,392.58,550.28
440,201.54,399.07,558.23
445,199.01,405.49,566.03
450,196.52,411.83,573.7
455,194.06,418.09,581.22
460,191.63,424.25,588.61
465,189.24,430.33,595.86
470,186.88,436.31,602.98
475,184.56,442.2,609.97
480,182.27,448.01,616.83
485,180.26,453.72,623.57
490,179.44,459.33,630.18
495,180.36,464.86,636.68
500,183.17,470.29,643.05
505,187.82,475.63,649.3
510,194.18,480.88,655.44
515,202.07,486.04,661.47
520,211.3,491.11,667.39
525,221.7,496.09,673.2
530,233.08,500.99,678.9
535,245.31,505.79,684.49
540,258.24,510.52,689.99
545,271.51,515.02,695.38
550,284.1,518.8,700.67
555,295.36,521.55,705.86
560,305.07,523.19,710.96
565,313.2,523.74,715.96
570,319.81,523.29,720.88
575,325.03,521.93,725.7
580,329,519.76,730.43
585,331.86,516.9,735.07
590,333.75,513.42,739.63
595,334.77,509.43,744.1
600,335.05,504.99,748.5
605,334.68,500.18,752.81
610,333.76,495.06,757.04
615,332.35,489.68,761.19
620,330.52,484.08,765.26
625,328.34,478.31,769.26
630,325.86,472.41,773.19
635,323.12,466.4,777.04
640,320.17,460.32,780.83
645,317.04,454.18,784.54
650,313.76,448.01,788.18
655,310.36,441.82,791.76
660,306.86,435.64,795.27
665,303.29,429.47,798.71
670,299.66,423.33,802.09
675,295.99,417.22,805.41
680,292.29,411.16,808.67
685,288.58,405.15,811.87
690,284.86,399.2,815
695,281.14,393.32,818.08
700,277.43,387.5,821.11
705,273.75,381.75,824.07
710,270.08,376.08,826.99
715,266.45,370.49,829.84
720,262.84,364.97,832.65
725,259.27,359.69,835.4
730,255.75,355.21,838.11
735,252.26,351.87,840.76
740,248.82,349.77,843.36
745,245.42,348.88,845.92
750,242.07,349.12,848.42
755,238.76,350.38,850.89
760,235.51,352.53,853.3
765,232.3,355.47,855.67
770,229.15,359.09,858
775,226.04,363.29,860.28
780,222.98,367.99,862.53
785,220.22,373.12,864.73
790,218.66,378.59,866.89
795,218.86,384.36,869.01
800,220.95,390.37,871.09
805,224.91,396.58,873.13
810,230.58,402.94,875.13
815,237.79,409.42,877.1
820,246.37,415.99,879.03
825,256.11,422.63,880.93
830,266.86,429.3,882.79
835,278.47,435.99,884.61
840,290.79,442.69,886.4
845,303.45,449.37,888.16
850,315.45,456.03,889.89
855,326.13,462.65,891.58
860,335.27,469.22,893.25
865,342.84,475.74,894.88
870,348.9,482.19,896.48
875,353.58,488.58,898.05
880,357.03,494.89,899.59
885,359.37,501.13,901.11
890,360.74,507.29,902.6
895,361.27,513.37,904.05
900,361.06,519.36,905.49
905,360.21,525.18,906.89
910,358.81,530.54,908.27
915,356.94,535.26,909.63
920,354.65,539.28,910.95
925,352.03,542.62,912.26
930,349.11,545.33,913.54
935,345.94,547.46,914.8
940,342.57,549.07,916.03
945,339.02,550.23,917.24
950,335.34,550.99,918.43
955,331.54,551.4,919.59
960,327.65,551.5,920.74
965,323.69,551.33,921.86
970,319.69,550.94,922.96
975,315.65,550.35,924.05
980,311.58,549.6,925.11
985,307.51,548.69,926.15
990,303.44,547.67,927.17
995,299.38,546.54,928.18
1000,295.34,545.32,929.16
1005,291.32,544.03,930.13
1010,287.33,542.68,931.08
1015,283.37,541.28,932.01
1020,279.45,539.84,932.93
1025,275.58,538.38,933.82
1030,271.75,536.88,934.71
1035,267.96,535.37,935.57
1040,264.23,533.85,936.42
1045,260.55,532.33,937.25
1050,256.92,530.8,938.07
1055,253.34,529.27,938.87
1060,249.81,527.75,939.66
1065,246.34,526.23,940.43
1070,242.93,524.73,941.19
1075,239.57,523.23,941.94
1080,236.26,521.75,942.67
1085,233.25,520.22,943.39
1090,231.45,518.35,944.09
1095,231.41,515.99,944.78
1100,233.27,513.1,945.46
1105,237,509.69,946.13
1110,242.45,505.81,946.78
1115,249.44,501.49,947.42
1120,257.8,496.81,948.05
1125,267.33,491.81,948.67
1130,277.88,486.54,949.27
1135,289.28,481.06,949.87
1140,301.4,475.39,950.45
1145,313.87,469.59,951.03
1150,325.67,463.67,951.59
