Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
1050,936,468.63,247.52,897.19,936
1055,937.05,469.14,247.76,898.81,937.05
1060,938.09,469.64,248.01,900.4,938.09
1065,939.11,470.13,248.24,901.97,939.11
1070,940.11,470.61,248.48,903.51,940.11
1075,941.1,471.08,248.71,905.02,941.1
1080,942.07,471.55,248.93,906.52,942.07
1085,943.03,472,249.16,907.97,943.03
1090,943.97,472.45,249.38,909.36,943.97
1095,944.89,472.9,249.59,910.66,944.89
1100,945.8,473.33,249.8,911.87,945.8
1105,946.7,473.76,250.01,913.02,946.7
1110,947.58,474.19,250.22,914.09,947.58
1115,948.44,474.6,250.42,915.11,948.44
1120,949.3,475.01,250.62,916.07,949.3
1125,950.13,475.41,250.81,916.98,950.13
1130,950.96,475.81,251.01,917.84,950.96
1135,951.77,476.2,251.2,918.67,951.77
1140,952.57,476.58,251.38,919.45,952.57
1145,953.35,476.95,251.56,920.21,953.35
1150,954.12,477.32,251.74,920.93,954.12
1155,954.88,477.69,251.92,921.62,954.88
1160,955.63,478.05,252.1,922.29,955.63
1165,956.37,478.4,252.27,922.94,956.37
1170,957.09,478.75,252.44,923.57,957.09
1175,957.8,479.09,252.6,924.17,957.8
1180,958.5,479.42,252.76,924.76,958.5
1185,959.19,479.75,252.92,925.33,959.19
1190,959.87,480.08,253.08,925.88,959.87
1195,960.53,480.4,253.24,926.42,960.53
1200,961.19,480.71,253.39,926.94,961.19
1205,961.83,481.02,253.54,927.45,961.83
1210,962.47,481.32,253.69,927.95,962.47
1215,963.09,481.62,253.83,928.44,963.09
1220,963.71,481.92,253.98,928.92,963.71
1225,964.31,482.21,254.12,929.38,964.31
1230,964.9,482.49,254.26,929.84,964.9
1235,965.49,482.77,254.39,930.28,965.49
1240,966.06,483.05,254.53,930.72,966.06
1245,966.63,483.32,254.66,931.15,966.63
1250,967.19,483.59,254.79,931.57,967.19
1255,967.73,483.85,254.92,931.98,967.73
1260,968.27,484.11,255.04,932.38,968.27
1265,968.8,484.36,255.16,932.59,968.8
1270,969.32,484.61,255.29,931.98,969.32
1275,969.83,484.86,255.41,930.39,969.83
1280,970.34,485.1,255.52,927.83,970.34
1285,970.83,485.33,255.64,924.42,970.83
1290,971.32,485.57,255.75,920.26,971.32
1295,971.8,485.8,255.86,915.45,971.8
1300,972.27,486.03,255.97,910.1,972.27
1305,972.74,486.25,256.08,904.27,972.74
1310,973.2,486.47,256.19,898.05,973.2
1315,973.65,486.68,256.29,891.5,973.65
1320,974.09,486.89,256.4,884.68,974.09
1325,974.52,487.1,256.5,877.62,974.52
1330,974.95,487.31,256.6,870.39,974.95
1335,975.37,487.51,256.7,863.01,975.37
1340,975.79,487.71,256.79,855.51,975.79
1345,976.19,487.9,256.89,847.94,976.19
1350,976.59,488.1,256.98,840.31,976.59
1355,976.99,488.29,257.07,832.64,976.99
1360,977.38,488.47,257.16,824.96,977.38
1365,977.76,488.65,257.25,817.27,977.76
1370,978.13,488.83,257.34,809.61,978.13
1375,978.5,489.01,257.43,801.97,978.5
1380,978.87,489.19,257.51,794.37,978.87
1385,979.22,489.36,257.59,786.81,979.22
1390,979.58,489.53,257.68,779.32,979.58
1395,979.92,489.69,257.76,771.89,979.92
1400,980.26,489.85,257.84,764.52,980.26
1405,980.6,490.01,257.91,757.23,980.6
1410,980.93,490.17,257.99,750.02,980.93
1415,981.25,490.33,258.07,742.89,981.25
1420,981.57,490.48,258.14,735.85,981.57
1425,981.88,490.63,258.21,728.89,981.88
1430,982.19,490.78,258.29,722.02,982.19
1435,982.49,490.92,258.36,715.24,982.49
