Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
0,38.264,38.264,38.264,38.264,38.264
5,38.264,38.264,38.264,38.264,38.264
10,38.264,38.264,38.264,38.264,38.264
15,38.264,38.264,38.264,38.264,38.264
20,38.264,38.264,38.264,38.264,38.264
25,38.264,38.264,38.264,38.264,38.264
30,38.264,38.264,38.264,38.264,38.264
35,38.264,38.264,38.264,38.264,38.264
40,38.264,38.264,38.264,38.264,38.264
45,38.264,38.264,38.264,38.264,38.264
50,38.264,38.264,38.264,38.264,38.264
55,38.264,38.264,38.264,38.264,38.264
60,38.264,38.264,38.264,38.264,38.264
65,38.264,38.264,38.264,38.264,38.264
70,38.264,38.264,38.264,38.264,38.264
75,38.264,38.264,38.264,38.264,38.264
80,38.264,38.264,38.264,38.264,38.264
85,38.264,38.264,38.264,38.264,38.264
90,38.264,38.264,38.264,38.264,38.264
95,38.264,38.264,38.264,38.264,38.264
100,38.264,38.264,38.264,38.264,38.264
105,38.264,38.264,38.264,38.264,38.264
110,38.264,38.264,38.264,38.264,38.264
115,38.264,38.264,38.264,38.264,38.264
120,38.264,38.264,38.264,38.264,38.264
125,38.264,38.264,38.264,38.264,38.264
130,38.264,38.264,38.264,38.264,38.264
135,38.264,38.264,38.264,38.264,38.264
140,38.264,38.264,38.264,38.264,38.264
145,38.264,38.264,38.264,38.264,38.264
150,38.264,38.264,38.264,38.264,38.264
155,38.264,38.264,38.264,38.264,38.264
160,38.264,38.264,38.264,38.264,38.264
165,38.264,38.264,38.264,38.264,38.264
170,38.264,38.264,38.264,38.264,38.264
175,38.264,38.264,38.264,38.264,38.264
180,38.264,38.264,38.264,38.264,38.264
185,38.544,38.398,38.329,38.444,38.544
190,39.983,39.088,38.665,39.371,39.983
195,42.865,40.47,39.336,41.226,42.865
200,47.131,42.515,40.331,43.973,47.131
205,52.636,45.154,41.614,47.518,52.636
210,59.22,48.31,43.149,51.757,59.22
215,66.732,51.911,44.9,56.593,66.732
220,75.036,55.892,46.835,61.941,75.036
225,84.014,60.196,48.928,67.721,84.014
230,93.559,64.772,51.153,73.867,93.559
235,103.58,69.576,53.488,80.318,103.58
240,113.99,74.567,55.915,87.023,113.99
245,124.73,79.713,58.417,93.934,124.73
250,135.72,84.983,60.98,101.01,135.72
255,146.91,90.35,63.589,108.22,146.91
260,158.26,95.791,66.235,115.53,158.26
265,169.73,101.29,68.907,122.91,169.73
270,181.27,106.82,71.597,130.34,181.27
275,192.85,112.37,74.297,137.8,192.85
280,204.45,117.93,77.001,145.27,204.45
285,216.04,123.49,79.703,152.73,216.04
290,227.61,129.03,82.398,160.18,227.61
295,239.12,134.56,85.083,167.59,239.12
300,250.58,140.05,87.752,174.97,250.58
305,261.95,145.5,90.404,182.29,261.95
310,273.24,150.91,93.035,189.56,273.24
315,284.43,156.28,95.643,196.76,284.43
320,295.51,161.59,98.227,203.9,295.51
325,306.48,166.85,100.78,210.96,306.48
330,317.33,172.05,103.31,217.95,317.33
335,328.06,177.19,105.81,224.85,328.06
340,338.65,182.27,108.28,231.68,338.65
345,349.12,187.29,110.72,238.41,349.12
350,359.45,192.24,113.13,245.07,359.45
355,369.64,197.13,115.51,251.63,369.64
360,379.7,201.95,117.85,258.1,379.7
365,389.61,206.7,120.16,264.56,389.61
370,399.39,211.39,122.44,271.2,399.39
375,409.03,216.01,124.69,278.1,409.03
380,418.52,220.56,126.9,285.25,418.52
385,427.88,225.05,129.08,292.61,427.88
390,437.1,229.46,131.23,300.14,437.1
395,446.18,233.82,133.35,307.8,446.18
400,455.12,238.1,135.43,315.57,455.12
405,463.93,242.33,137.48,323.41,463.93
410,472.6,246.48,139.5,331.31,472.6
415,481.14,250.58,141.49,339.23,481.14
420,489.54,254.6,143.45,347.16,489.54
425,497.81,258.57,145.38,355.09,497.81
430,505.96,262.47,147.28,362.99,505.96
435,513.97,266.32,149.15,370.86,513.97
440,521.86,270.1,150.99,378.69,521.86
445,529.62,273.82,152.8,386.47,529.62
450,537.26,277.48,154.58,394.18,537.26
455,544.78,281.09,156.33,401.82,544.78
460,552.18,284.63,158.05,409.4,552.18
465,559.46,288.12,159.75,416.89,559.46
470,566.63,291.56,161.42,424.3,566.63
475,573.68,294.94,163.06,431.63,573.68
480,580.61,298.26,164.68,438.87,580.61
485,587.44,301.53,166.27,446.02,587.44
490,594.15,304.75,167.84,453.07,594.15
495,600.76,307.92,169.38,460.04,600.76
500,607.26,311.04,170.89,466.9,607.26
505,613.65,314.1,172.38,473.68,613.65
510,619.94,317.12,173.85,480.35,619.94
515,626.13,320.09,175.29,486.94,626.13
520,632.22,323,176.71,493.42,632.22
525,638.21,325.88,178.11,499.81,638.21
530,644.1,328.7,179.48,506.11,644.1
535,649.9,331.48,180.83,512.31,649.9
540,655.61,334.22,182.16,518.42,655.61
545,661.22,336.91,183.47,524.46,661.22
550,666.74,339.55,184.76,530.54,666.74
555,672.17,342.16,186.02,536.67,672.17
560,677.51,344.72,187.27,542.86,677.51
565,682.77,347.24,188.49,549.09,682.77
570,687.94,349.72,189.7,555.35,687.94
575,693.03,352.16,190.88,561.62,693.03
580,698.03,354.55,192.05,567.89,698.03
585,702.96,356.92,193.2,574.14,702.96
590,707.8,359.24,194.33,580.37,707.8
595,712.56,361.52,195.44,586.56,712.56
600,717.25,363.77,196.53,592.72,717.25
605,721.86,365.98,197.61,598.82,721.86
610,726.4,368.15,198.66,604.88,726.4
615,730.86,370.29,199.7,610.88,730.86
620,735.25,372.4,200.73,616.82,735.25
625,739.57,374.47,201.73,622.69,739.57
630,743.82,376.5,202.72,628.5,743.82
635,748,378.51,203.7,634.23,748
640,752.11,380.48,204.66,639.9,752.11
645,756.15,382.42,205.6,645.49,756.15
650,760.13,384.32,206.53,651.01,760.13
655,764.05,386.2,207.44,656.46,764.05
660,767.9,388.05,208.34,661.83,767.9
665,771.68,389.86,209.22,667.12,771.68
670,775.41,391.65,210.09,672.34,775.41
675,779.08,393.41,210.94,677.49,779.08
680,782.68,395.14,211.78,682.55,782.68
685,786.23,396.84,212.61,687.55,786.23
690,789.72,398.51,213.42,692.47,789.72
695,793.15,400.15,214.22,697.31,793.15
700,796.53,401.77,215.01,702.08,796.53
705,799.85,403.37,215.78,706.78,799.85
710,803.12,404.93,216.55,711.4,803.12
715,806.33,406.47,217.3,715.95,806.33
720,809.5,407.99,218.03,720.43,809.5
725,812.61,409.48,218.76,724.84,812.61
730,815.67,410.95,219.47,729.16,815.67
735,818.68,412.39,220.17,733.39,818.68
740,821.64,413.81,220.86,737.53,821.64
745,824.56,415.21,221.54,741.59,824.56
750,827.42,416.58,222.21,745.57,827.42
755,830.24,417.94,222.87,749.46,830.24
760,833.02,419.27,223.51,753.28,833.02
765,835.75,420.57,224.15,757.03,835.75
770,838.43,421.86,224.78,760.71,838.43
775,841.07,423.13,225.39,764.31,841.07
780,843.67,424.37,226,767.85,843.67
785,846.23,425.6,226.59,771.33,846.23
790,848.74,426.8,227.18,774.75,848.74
795,851.21,427.99,227.76,778.1,851.21
800,853.65,429.16,228.32,781.39,853.65
805,856.04,430.3,228.88,784.63,856.04
810,858.39,431.43,229.43,787.81,858.39
815,860.71,432.54,229.97,790.94,860.71
820,862.99,433.63,230.5,794.01,862.99
825,865.23,434.71,231.02,797.03,865.23
830,867.44,435.77,231.54,800,867.44
835,869.61,436.81,232.04,802.92,869.61
840,871.74,437.83,232.54,805.79,871.74
845,873.84,438.84,233.03,808.61,873.84
850,875.9,439.83,233.51,811.38,875.9
855,877.94,440.8,233.99,814.11,877.94
860,879.93,441.76,234.45,816.79,879.93
865,881.9,442.7,234.91,819.43,881.9
870,883.83,443.63,235.36,822.02,883.83
875,885.74,444.54,235.8,824.57,885.74
880,887.61,445.44,236.24,827.08,887.61
885,889.45,446.32,236.67,829.55,889.45
890,891.26,447.19,237.09,831.98,891.26
895,893.04,448.04,237.51,834.36,893.04
900,894.8,448.88,237.92,836.71,894.8
905,896.52,449.71,238.32,839.03,896.52
910,898.22,450.52,238.71,841.32,898.22
915,899.89,451.32,239.1,843.61,899.89
920,901.53,452.11,239.48,845.89,901.53
925,903.14,452.88,239.86,848.16,903.14
930,904.73,453.65,240.23,850.41,904.73
935,906.29,454.39,240.6,852.65,906.29
940,907.83,455.13,240.95,854.87,907.83
945,909.34,455.86,241.31,857.06,909.34
950,910.83,456.57,241.65,859.24,910.83
955,912.3,457.27,241.99,861.39,912.3
960,913.74,457.96,242.33,863.51,913.74
965,915.15,458.64,242.66,865.61,915.15
970,916.55,459.31,242.98,867.69,916.55
975,917.92,459.97,243.3,869.74,917.92
980,919.26,460.61,243.62,871.76,919.26
985,920.59,461.25,243.93,873.76,920.59
990,921.9,461.87,244.23,875.72,921.9
995,923.18,462.49,244.53,877.66,923.18
1000,924.44,463.1,244.83,879.57,924.44
1005,925.69,463.69,245.12,881.46,925.69
1010,926.91,464.28,245.4,883.31,926.91
1015,928.11,464.85,245.68,885.14,928.11
1020,929.29,465.42,245.96,886.95,929.29
1025,930.46,465.98,246.23,888.72,930.46
1030,931.6,466.53,246.49,890.47,931.6
1035,932.73,467.07,246.76,892.19,932.73
1040,933.83,467.6,247.01,893.88,933.83
1045,934.92,468.12,247.27,895.55,934.92
