Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
710,1113.6,517.81,100.6,1068.4,1113.6
715,1117.5,519.52,100.76,1073.1,1117.5
720,1121.4,521.2,100.92,1077.8,1121.4
725,1125.2,522.85,101.07,1082.3,1125.2
730,1128.9,524.46,101.22,1086.8,1128.9
735,1132.5,526.05,101.37,1091.2,1132.5
740,1136.1,527.61,101.51,1095.6,1136.1
745,1139.6,529.13,101.65,1099.8,1139.6
750,1143,530.63,101.79,1104,1143
755,1146.4,532.11,101.93,1108.1,1146.4
760,1149.7,533.55,102.06,1112.1,1149.7
765,1153,534.97,102.19,1116,1153
770,1156.2,536.36,102.32,1119.8,1156.2
775,1159.3,537.73,102.45,1123.6,1159.3
780,1162.4,539.07,102.58,1127.4,1162.4
785,1165.4,540.38,102.7,1131,1165.4
790,1168.4,541.68,102.82,1134.6,1168.4
795,1171.3,542.94,102.94,1138.1,1171.3
800,1174.1,544.19,103.05,1141.5,1174.1
805,1176.9,545.41,103.16,1144.9,1176.9
810,1179.7,546.61,103.28,1148.2,1179.7
815,1182.4,547.78,103.39,1151.5,1182.4
820,1185,548.94,103.49,1154.7,1185
825,1187.6,550.07,103.6,1157.8,1187.6
830,1190.2,551.18,103.7,1160.9,1190.2
835,1192.7,552.28,103.8,1163.9,1192.7
840,1195.2,553.35,103.9,1166.9,1195.2
845,1197.6,554.4,104,1169.8,1197.6
850,1200,555.43,104.1,1172.7,1200
855,1202.3,556.44,104.19,1175.5,1202.3
860,1204.6,557.44,104.28,1178.2,1204.6
865,1206.8,558.41,104.37,1180.9,1206.8
870,1209,559.37,104.46,1183.6,1209
875,1211.2,560.31,104.55,1186.2,1211.2
880,1213.3,561.24,104.64,1188.7,1213.3
885,1215.4,562.14,104.72,1191.3,1215.4
890,1217.4,563.03,104.8,1193.7,1217.4
895,1219.4,563.9,104.88,1196.1,1219.4
900,1221.4,564.76,104.96,1198.5,1221.4
905,1223.3,565.6,105.04,1200.8,1223.3
910,1225.2,566.42,105.12,1203.1,1225.2
915,1227,567.23,105.19,1205.4,1227
920,1228.9,568.03,105.27,1207.6,1228.9
925,1230.7,568.81,105.34,1209.7,1230.7
930,1232.4,569.57,105.41,1211.9,1232.4
935,1234.1,570.33,105.48,1213.9,1234.1
940,1235.8,571.06,105.55,1216,1235.8
945,1237.5,571.79,105.62,1218,1237.5
950,1239.1,572.5,105.68,1220,1239.1
955,1240.7,573.19,105.75,1221.9,1240.7
960,1242.3,573.88,105.81,1223.8,1242.3
965,1243.8,574.55,105.87,1225.7,1243.8
970,1245.4,575.21,105.93,1227.6,1245.4
975,1246.8,575.86,105.99,1229.4,1246.8
980,1248.3,576.49,106.05,1231.1,1248.3
985,1249.7,577.12,106.11,1232.9,1249.7
990,1251.1,577.73,106.17,1234.6,1251.1
995,1252.5,578.33,106.22,1236.3,1252.5
1000,1253.9,578.92,106.28,1237.9,1253.9
1005,1255.2,579.5,106.33,1239.5,1255.2
1010,1256.5,580.06,106.38,1241.1,1256.5
1015,1257.8,580.62,106.44,1242.7,1257.8
1020,1259,581.17,106.49,1244.2,1259
1025,1260.3,581.71,106.54,1245.7,1260.3
1030,1261.5,582.23,106.59,1247.2,1261.5
1035,1262.7,582.75,106.63,1248.6,1262.7
1040,1263.8,583.26,106.68,1250,1263.8
1045,1265,583.76,106.73,1251.4,1265
1050,1266.1,584.24,106.77,1252.8,1266.1
1055,1267.2,584.72,106.82,1254.2,1267.2
1060,1268.3,585.2,106.86,1255.5,1268.3
1065,1269.3,585.66,106.9,1256.8,1269.3
1070,1270.4,586.11,106.95,1258,1270.4
1075,1271.4,586.56,106.99,1259.3,1271.4
1080,1272.4,586.99,107.03,1260.5,1272.4
1085,1273.4,587.42,107.07,1261.7,1273.4
1090,1274.4,587.84,107.11,1262.9,1274.4
1095,1275.3,588.26,107.15,1264,1275.3
1100,1276.2,588.66,107.18,1265.2,1276.2
1105,1277.1,589.06,107.22,1266.3,1277.1
1110,1278,589.45,107.26,1267.3,1278
1115,1278.9,589.84,107.29,1268.4,1278.9
1120,1279.8,590.21,107.33,1269.4,1279.8
1125,1280.6,590.58,107.36,1270.4,1280.6
1130,1281.5,590.94,107.39,1271.4,1281.5
1135,1282.3,591.3,107.43,1272.3,1282.3
1140,1283.1,591.65,107.46,1273.3,1283.1
1145,1283.9,591.99,107.49,1274.2,1283.9
1150,1284.6,592.33,107.52,1275.1,1284.6
1155,1285.4,592.66,107.55,1276,1285.4
1160,1286.1,592.98,107.58,1276.8,1286.1
1165,1286.9,593.3,107.61,1277.7,1286.9
1170,1287.6,593.61,107.64,1278.5,1287.6
1175,1288.3,593.92,107.67,1279.3,1288.3
1180,1289,594.22,107.7,1280.1,1289
1185,1289.7,594.52,107.73,1280.9,1289.7
1190,1290.3,594.81,107.75,1281.7,1290.3
1195,1291,595.09,107.78,1282.4,1291
1200,1291.6,595.37,107.81,1283.2,1291.6
1205,1292.3,595.64,107.83,1283.9,1292.3
1210,1292.9,595.91,107.86,1284.6,1292.9
1215,1293.5,596.18,107.88,1285.3,1293.5
1220,1294.1,596.44,107.91,1286,1294.1
1225,1294.7,596.69,107.93,1286.7,1294.7
1230,1295.2,596.94,107.95,1287.3,1295.2
1235,1295.8,597.19,107.97,1288,1295.8
1240,1296.3,597.43,108,1288.6,1296.3
1245,1296.9,597.66,108.02,1289.2,1296.9
1250,1297.4,597.89,108.04,1289.8,1297.4
1255,1297.9,598.12,108.06,1290.4,1297.9
1260,1298.5,598.34,108.08,1291,1298.5
1265,1299,598.56,108.1,1291.4,1299
1270,1299.5,598.78,108.12,1290.6,1299.5
1275,1299.9,598.99,108.14,1288.3,1299.9
1280,1300.4,599.2,108.16,1284.2,1300.4
1285,1300.9,599.4,108.18,1278.3,1300.9
1290,1301.3,599.6,108.2,1270.9,1301.3
1295,1301.8,599.8,108.22,1262.1,1301.8
1300,1302.2,599.99,108.23,1252.1,1302.2
1305,1302.7,600.18,108.25,1240.9,1302.7
1310,1303.1,600.36,108.27,1228.9,1303.1
1315,1303.5,600.54,108.29,1216.1,1303.5
1320,1303.9,600.72,108.3,1202.6,1303.9
1325,1304.3,600.9,108.32,1188.7,1304.3
1330,1304.7,601.07,108.34,1174.3,1304.7
1335,1305.1,601.24,108.35,1159.6,1305.1
1340,1305.5,601.4,108.37,1144.6,1305.5
1345,1305.8,601.56,108.38,1129.4,1305.8
1350,1306.2,601.72,108.4,1114.1,1306.2
1355,1306.6,601.88,108.41,1098.7,1306.6
1360,1306.9,602.03,108.43,1083.3,1306.9
1365,1307.3,602.19,108.44,1067.9,1307.3
1370,1307.6,602.33,108.45,1052.6,1307.6
1375,1307.9,602.48,108.47,1037.3,1307.9
1380,1308.3,602.62,108.48,1022,1308.3
1385,1308.6,602.76,108.49,1006.9,1308.6
1390,1308.9,602.9,108.51,991.98,1308.9
1395,1309.2,603.03,108.52,977.16,1309.2
1400,1309.5,603.17,108.53,962.5,1309.5
1405,1309.8,603.29,108.54,948,1309.8
1410,1310.1,603.42,108.55,933.69,1310.1
1415,1310.4,603.55,108.57,919.56,1310.4
1420,1310.7,603.67,108.58,905.63,1310.7
1425,1311,603.79,108.59,891.89,1311
1430,1311.2,603.91,108.6,878.36,1311.2
1435,1311.5,604.02,108.61,865.02,1311.5
