Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
0,23.828,23.828,23.828,23.828,23.828
5,23.828,23.828,23.828,23.828,23.828
10,23.828,23.828,23.828,23.828,23.828
15,23.828,23.828,23.828,23.828,23.828
20,23.828,23.828,23.828,23.828,23.828
25,23.828,23.828,23.828,23.828,23.828
30,23.828,23.828,23.828,23.828,23.828
35,23.828,23.828,23.828,23.828,23.828
40,23.828,23.828,23.828,23.828,23.828
45,23.828,23.828,23.828,23.828,23.828
50,23.828,23.828,23.828,23.828,23.828
55,23.828,23.828,23.828,23.828,23.828
60,23.828,23.828,23.828,23.828,23.828
65,23.828,23.828,23.828,23.828,23.828
70,23.828,23.828,23.828,23.828,23.828
75,23.828,23.828,23.828,23.828,23.828
80,23.828,23.828,23.828,23.828,23.828
85,23.828,23.828,23.828,23.828,23.828
90,23.828,23.828,23.828,23.828,23.828
95,23.828,23.828,23.828,23.828,23.828
100,23.828,23.828,23.828,23.828,23.828
105,23.828,23.828,23.828,23.828,23.828
110,23.828,23.828,23.828,23.828,23.828
115,23.828,23.828,23.828,23.828,23.828
120,23.828,23.828,23.828,23.828,23.828
125,23.828,23.828,23.828,23.828,23.828
130,23.828,23.828,23.828,23.828,23.828
135,23.828,23.828,23.828,23.828,23.828
140,23.828,23.828,23.828,23.828,23.828
145,23.828,23.828,23.828,23.828,23.828
150,23.828,23.828,23.828,23.828,23.828
155,23.828,23.828,23.828,23.828,23.828
160,23.828,23.828,23.828,23.828,23.828
165,23.828,23.828,23.828,23.828,23.828
170,23.828,23.828,23.828,23.828,23.828
175,23.828,23.828,23.828,23.828,23.828
180,23.828,23.828,23.828,23.828,23.828
185,23.887,23.885,23.834,23.887,23.887
190,24.248,24.231,23.869,24.247,24.248
195,25.095,25.043,23.951,25.092,25.095
200,26.519,26.409,24.089,26.514,26.519
205,28.557,28.363,24.286,28.548,28.557
210,31.205,30.902,24.543,31.19,31.205
215,34.436,34.001,24.856,34.415,34.436
220,38.211,37.621,25.222,38.182,38.211
225,42.484,41.718,25.637,42.446,42.484
230,47.205,46.246,26.094,47.158,47.205
235,52.326,51.157,26.591,52.269,52.326
240,57.799,56.406,27.121,57.731,57.799
245,63.581,61.95,27.682,63.501,63.581
250,69.629,67.75,28.268,69.537,69.629
255,75.907,73.77,28.877,75.802,75.907
260,82.379,79.977,29.504,82.261,82.379
265,89.015,86.341,30.148,88.884,89.015
270,95.788,92.835,30.804,95.643,95.788
275,102.67,99.437,31.471,102.51,102.67
280,109.64,106.12,32.148,109.47,109.64
285,116.69,112.88,32.83,116.5,116.69
290,123.78,119.68,33.518,123.58,123.78
295,130.91,126.52,34.21,130.7,130.91
300,138.07,133.38,34.903,137.84,138.07
305,145.24,140.26,35.598,144.99,145.24
310,152.4,147.13,36.293,152.15,152.4
315,159.56,153.99,36.987,159.29,159.56
320,166.7,160.84,37.679,166.42,166.7
325,173.82,167.67,38.369,173.52,173.82
330,180.91,174.46,39.056,180.59,180.91
335,187.96,181.23,39.74,187.63,187.96
340,194.97,187.95,40.42,194.63,194.97
345,201.94,194.63,41.095,201.58,201.94
350,208.86,201.27,41.766,208.49,208.86
355,215.73,207.86,42.432,215.35,215.73
360,222.55,214.39,43.093,222.15,222.55
365,229.31,220.88,43.748,228.9,229.31
370,236.01,227.3,44.398,235.59,236.01
375,242.65,233.68,45.042,242.22,242.65
380,249.24,239.99,45.68,248.79,249.24
385,255.76,246.24,46.313,255.3,255.76
390,262.22,252.44,46.939,261.76,262.22
395,268.62,258.57,47.559,268.15,268.62
400,274.95,264.65,48.173,274.48,274.95
405,281.22,270.66,48.781,280.74,281.22
410,287.43,276.61,49.383,286.94,287.43
415,293.57,282.5,49.978,293.08,293.57
420,299.65,288.33,50.567,299.16,299.65
425,305.66,294.1,51.15,305.17,305.66
430,311.61,299.8,51.727,311.12,311.61
435,317.5,305.45,52.298,317.01,317.5
440,323.32,311.03,52.862,322.83,323.32
445,329.08,316.55,53.421,328.6,329.08
450,334.78,322.02,53.973,334.3,334.78
455,340.41,327.42,54.519,339.93,340.41
460,345.98,332.76,55.059,345.51,345.98
465,351.49,338.05,55.594,351.02,351.49
470,356.94,343.28,56.122,356.47,356.94
475,362.33,348.44,56.645,361.87,362.33
480,367.66,353.56,57.161,367.2,367.66
485,372.93,358.61,57.672,372.47,372.93
490,378.14,363.61,58.177,377.69,378.14
495,383.3,368.55,58.677,382.85,383.3
500,388.39,373.43,59.171,387.95,388.39
505,393.43,378.26,59.659,392.99,393.43
510,398.41,383.04,60.142,397.97,398.41
515,403.33,387.76,60.619,402.9,403.33
520,408.2,392.43,61.091,407.77,408.2
525,413.02,397.05,61.558,412.59,413.02
530,417.78,401.61,62.02,417.36,417.78
535,422.48,406.13,62.476,422.07,422.48
540,427.13,410.59,62.927,426.72,427.13
545,431.73,415,63.373,431.33,431.73
550,436.28,419.36,63.814,435.88,436.28
555,440.78,423.67,64.249,440.38,440.78
560,445.22,427.93,64.68,444.83,445.22
565,449.62,432.15,65.106,449.23,449.62
570,453.96,436.31,65.528,453.58,453.96
575,458.26,440.43,65.944,457.88,458.26
580,462.5,444.51,66.356,462.13,462.5
585,466.7,448.53,66.763,466.33,466.7
590,470.85,452.51,67.165,470.48,470.85
595,474.96,456.45,67.563,474.59,474.96
600,479.01,460.34,67.956,478.65,479.01
605,483.02,464.18,68.345,482.66,483.02
610,486.99,467.98,68.729,486.63,486.99
615,490.91,471.74,69.109,490.56,490.91
620,494.78,475.46,69.485,494.44,494.78
625,498.61,479.13,69.856,498.27,498.61
630,502.4,482.76,70.223,502.06,502.4
635,506.14,486.36,70.586,505.81,506.14
640,509.85,489.9,70.945,509.52,509.85
645,513.51,493.41,71.3,513.18,513.51
650,517.12,496.88,71.651,516.8,517.12
655,520.7,500.31,71.997,520.38,520.7
660,524.24,503.7,72.34,523.92,524.24
665,527.73,507.06,72.679,527.42,527.73
670,531.19,510.37,73.014,530.88,531.19
675,534.6,513.65,73.345,534.3,534.6
680,537.98,516.88,73.673,537.68,537.98
685,541.32,520.09,73.996,541.02,541.32
690,544.62,523.25,74.316,544.32,544.62
695,547.88,526.38,74.633,547.59,547.88
700,551.11,529.47,74.946,550.82,551.11
705,554.3,532.53,75.255,554.01,554.3
710,557.45,535.56,75.56,557.17,557.45
715,560.57,538.55,75.863,560.29,560.57
720,563.65,541.5,76.161,563.37,563.65
725,566.7,544.42,76.457,566.42,566.7
730,569.71,547.31,76.749,569.44,569.71
735,572.69,550.17,77.037,572.42,572.69
740,575.63,552.99,77.323,575.37,575.63
745,578.54,555.78,77.605,578.28,578.54
750,581.42,558.54,77.884,581.16,581.42
755,584.26,561.27,78.159,584.01,584.26
760,587.07,563.96,78.432,586.82,587.07
765,589.85,566.63,78.701,589.6,589.85
770,592.6,569.26,78.968,592.35,592.6
775,595.32,571.87,79.231,595.07,595.32
780,598,574.44,79.492,597.76,598
785,600.66,576.99,79.749,600.42,600.66
790,603.28,579.51,80.003,603.05,603.28
795,605.88,581.99,80.255,605.64,605.88
800,608.44,584.45,80.504,608.21,608.44
805,610.98,586.89,80.75,610.75,610.98
810,613.48,589.29,80.993,613.26,613.48
815,615.96,591.67,81.233,615.74,615.96
820,618.41,594.02,81.47,618.19,618.41
825,620.84,596.34,81.705,620.62,620.84
830,623.23,598.64,81.937,623.02,623.23
835,625.6,600.91,82.167,625.39,625.6
840,627.94,603.15,82.394,627.73,627.94
845,630.25,605.37,82.618,630.05,630.25
850,632.54,607.56,82.84,632.34,632.54
855,634.8,609.73,83.059,634.6,634.8
860,637.04,611.88,83.276,636.84,637.04
865,639.25,614,83.49,639.05,639.25
870,641.43,616.09,83.702,641.24,641.43
875,643.59,618.16,83.911,643.4,643.59
880,645.73,620.21,84.118,645.54,645.73
885,647.84,622.24,84.323,647.65,647.84
890,649.93,624.24,84.525,649.74,649.93
895,651.99,626.22,84.726,651.81,651.99
900,654.03,628.17,84.923,653.85,654.03
905,656.05,630.11,85.119,655.87,656.05
910,658.04,632.02,85.312,657.86,658.04
915,660.01,633.91,85.503,659.83,660.01
920,661.96,635.78,85.692,661.78,661.96
925,663.89,637.62,85.879,663.71,663.89
930,665.79,639.45,86.063,665.62,665.79
935,667.67,641.26,86.246,667.5,667.67
940,669.53,643.04,86.426,669.37,669.53
945,671.37,644.8,86.605,671.21,671.37
950,673.19,646.55,86.781,673.03,673.19
955,674.99,648.27,86.955,674.83,674.99
960,676.77,649.98,87.128,676.61,676.77
965,678.53,651.66,87.298,678.37,678.53
970,680.26,653.33,87.467,680.11,680.26
975,681.98,654.98,87.633,681.83,681.98
980,683.68,656.61,87.798,683.53,683.68
985,685.36,658.22,87.96,685.21,685.36
990,687.02,659.81,88.121,686.87,687.02
995,688.66,661.38,88.28,688.51,688.66
1000,690.28,662.94,88.438,690.13,690.28
1005,691.88,664.47,88.593,691.74,691.88
1010,693.47,665.99,88.747,693.33,693.47
1015,695.04,667.5,88.899,694.9,695.04
1020,696.59,668.98,89.049,696.45,696.59
1025,698.12,670.45,89.197,697.98,698.12
1030,699.63,671.9,89.344,699.5,699.63
1035,701.13,673.34,89.489,700.99,701.13
1040,702.61,674.76,89.633,702.48,702.61
1045,704.07,676.16,89.775,703.94,704.07
1050,705.52,677.55,89.915,705.39,705.52
1055,706.95,678.92,90.053,706.82,706.95
1060,708.36,680.27,90.19,708.23,708.36
1065,709.76,681.62,90.326,709.63,709.76
1070,711.14,682.94,90.46,711.02,711.14
1075,712.51,684.25,90.592,712.38,712.51
1080,713.86,685.54,90.723,713.74,713.86
1085,715.19,686.82,90.853,715.07,715.19
1090,716.51,688.09,90.981,716.39,716.51
1095,717.82,689.34,91.107,717.7,717.82
1100,719.1,690.58,91.232,718.99,719.1
1105,720.38,691.8,91.356,720.27,720.38
1110,721.64,693.01,91.478,721.53,721.64
1115,722.89,694.2,91.599,722.78,722.89
1120,724.12,695.39,91.718,724.01,724.12
1125,725.34,696.55,91.836,725.23,725.34
1130,726.54,697.71,91.953,726.43,726.54
1135,727.73,698.85,92.068,727.62,727.73
1140,728.91,699.98,92.182,728.8,728.91
1145,730.07,701.09,92.295,729.97,730.07
1150,731.22,702.2,92.407,731.12,731.22
1155,732.36,703.29,92.517,732.26,732.36
1160,733.48,704.37,92.626,733.38,733.48
1165,734.59,705.43,92.734,734.49,734.59
1170,735.69,706.48,92.84,735.59,735.69
1175,736.78,707.53,92.945,736.68,736.78
1180,737.85,708.56,93.049,737.76,737.85
1185,738.91,709.57,93.152,738.82,738.91
1190,739.96,710.58,93.254,739.87,739.96
1195,741,711.57,93.355,740.91,741
1200,742.03,712.56,93.454,741.93,742.03
