Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
1205,743.04,713.53,93.552,742.95,743.04
1210,744.04,714.49,93.65,743.95,744.04
1215,745.03,715.44,93.746,744.94,745.03
1220,746.01,716.38,93.841,745.92,746.01
1225,746.98,717.31,93.934,746.89,746.98
1230,747.94,718.23,94.027,747.85,747.94
1235,748.88,719.14,94.119,748.8,748.88
1240,749.82,720.03,94.21,749.74,749.82
1245,750.75,720.92,94.299,750.66,750.75
1250,751.66,721.8,94.388,751.58,751.66
1255,752.56,722.66,94.476,752.48,752.56
1260,753.46,723.52,94.562,753.38,753.46
1265,754.34,724.37,94.648,754.22,754.34
1270,755.21,725.21,94.733,754.8,755.21
1275,756.08,726.03,94.816,755,756.08
1280,756.93,726.85,94.899,754.72,756.93
1285,757.78,727.66,94.981,753.95,757.78
1290,758.61,728.46,95.062,752.69,758.61
1295,759.44,729.25,95.142,750.96,759.44
1300,760.25,730.04,95.221,748.78,760.25
1305,761.06,730.81,95.299,746.21,761.06
1310,761.85,731.57,95.376,743.26,761.85
1315,762.64,732.33,95.453,740,762.64
1320,763.42,733.08,95.528,736.44,763.42
1325,764.19,733.81,95.603,732.63,764.19
1330,764.95,734.54,95.677,728.6,764.95
1335,765.71,735.27,95.75,724.38,765.71
1340,766.45,735.98,95.822,720,766.45
1345,767.18,736.69,95.893,715.48,767.18
1350,767.91,737.38,95.964,710.84,767.91
1355,768.63,738.07,96.033,706.11,768.63
1360,769.34,738.75,96.102,701.29,769.34
1365,770.04,739.43,96.17,696.42,770.04
1370,770.74,740.09,96.238,691.49,770.74
1375,771.43,740.75,96.304,686.53,771.43
1380,772.1,741.4,96.37,681.54,772.1
1385,772.78,742.05,96.435,676.53,772.78
1390,773.44,742.68,96.499,671.52,773.44
1395,774.09,743.31,96.563,666.51,774.09
1400,774.74,743.93,96.626,661.5,774.74
1405,775.38,744.55,96.688,656.5,775.38
1410,776.02,745.16,96.75,651.52,776.02
1415,776.64,745.76,96.81,646.56,776.64
1420,777.26,746.35,96.87,641.63,777.26
1425,777.88,746.94,96.93,636.72,777.88
1430,778.48,747.52,96.988,631.84,778.48
1435,779.08,748.09,97.046,627,779.08
